candidate_idx	isc_score	participant_ids
25	0.2700096408	sub-EN057,sub-EN058,sub-EN065,sub-EN070,sub-EN072,sub-EN073,sub-EN075,sub-EN076,sub-EN077,sub-EN078,sub-EN081,sub-EN082,sub-EN083,sub-EN084,sub-EN091,sub-EN092,sub-EN095,sub-EN097,sub-EN098,sub-EN101,sub-EN103,sub-EN104,sub-EN105,sub-EN106,sub-EN110,sub-EN113,sub-EN114,sub-EN115
26	0.2705018164	sub-EN057,sub-EN058,sub-EN061,sub-EN062,sub-EN063,sub-EN065,sub-EN068,sub-EN069,sub-EN070,sub-EN073,sub-EN079,sub-EN081,sub-EN083,sub-EN088,sub-EN089,sub-EN091,sub-EN092,sub-EN094,sub-EN096,sub-EN097,sub-EN099,sub-EN101,sub-EN103,sub-EN105,sub-EN106,sub-EN109,sub-EN110,sub-EN115
27	0.2809180217	sub-EN061,sub-EN062,sub-EN065,sub-EN067,sub-EN068,sub-EN073,sub-EN075,sub-EN076,sub-EN077,sub-EN081,sub-EN082,sub-EN083,sub-EN086,sub-EN087,sub-EN088,sub-EN091,sub-EN092,sub-EN093,sub-EN094,sub-EN097,sub-EN098,sub-EN099,sub-EN100,sub-EN105,sub-EN108,sub-EN109,sub-EN110,sub-EN113
28	0.2834022902	sub-EN057,sub-EN058,sub-EN059,sub-EN062,sub-EN063,sub-EN064,sub-EN065,sub-EN067,sub-EN068,sub-EN069,sub-EN075,sub-EN078,sub-EN081,sub-EN084,sub-EN087,sub-EN088,sub-EN089,sub-EN092,sub-EN095,sub-EN096,sub-EN097,sub-EN098,sub-EN099,sub-EN103,sub-EN105,sub-EN108,sub-EN110,sub-EN115
29	0.2753284823	sub-EN058,sub-EN059,sub-EN061,sub-EN062,sub-EN064,sub-EN065,sub-EN069,sub-EN073,sub-EN074,sub-EN075,sub-EN077,sub-EN081,sub-EN082,sub-EN083,sub-EN084,sub-EN086,sub-EN087,sub-EN089,sub-EN091,sub-EN092,sub-EN093,sub-EN094,sub-EN096,sub-EN098,sub-EN101,sub-EN104,sub-EN108,sub-EN113
30	0.2844619578	sub-EN057,sub-EN059,sub-EN064,sub-EN067,sub-EN068,sub-EN069,sub-EN070,sub-EN073,sub-EN074,sub-EN076,sub-EN078,sub-EN079,sub-EN081,sub-EN082,sub-EN084,sub-EN086,sub-EN088,sub-EN092,sub-EN094,sub-EN099,sub-EN101,sub-EN103,sub-EN104,sub-EN105,sub-EN106,sub-EN109,sub-EN110,sub-EN113
31	0.2864360990	sub-EN061,sub-EN064,sub-EN067,sub-EN069,sub-EN070,sub-EN072,sub-EN073,sub-EN074,sub-EN075,sub-EN076,sub-EN077,sub-EN083,sub-EN084,sub-EN086,sub-EN087,sub-EN089,sub-EN091,sub-EN093,sub-EN094,sub-EN095,sub-EN096,sub-EN097,sub-EN099,sub-EN100,sub-EN101,sub-EN105,sub-EN108,sub-EN110
32	0.2826919495	sub-EN057,sub-EN058,sub-EN061,sub-EN062,sub-EN064,sub-EN068,sub-EN069,sub-EN073,sub-EN074,sub-EN078,sub-EN083,sub-EN084,sub-EN086,sub-EN087,sub-EN089,sub-EN092,sub-EN094,sub-EN095,sub-EN097,sub-EN099,sub-EN100,sub-EN103,sub-EN105,sub-EN106,sub-EN108,sub-EN109,sub-EN110,sub-EN115
33	0.2936633508	sub-EN059,sub-EN063,sub-EN067,sub-EN069,sub-EN070,sub-EN072,sub-EN073,sub-EN074,sub-EN075,sub-EN077,sub-EN079,sub-EN083,sub-EN084,sub-EN087,sub-EN088,sub-EN089,sub-EN092,sub-EN094,sub-EN095,sub-EN096,sub-EN097,sub-EN098,sub-EN100,sub-EN104,sub-EN105,sub-EN106,sub-EN108,sub-EN109
34	0.2930159071	sub-EN057,sub-EN058,sub-EN064,sub-EN065,sub-EN068,sub-EN069,sub-EN072,sub-EN074,sub-EN075,sub-EN076,sub-EN077,sub-EN078,sub-EN081,sub-EN084,sub-EN086,sub-EN087,sub-EN091,sub-EN094,sub-EN095,sub-EN096,sub-EN099,sub-EN100,sub-EN101,sub-EN105,sub-EN106,sub-EN108,sub-EN110,sub-EN113
35	0.2927421026	sub-EN061,sub-EN064,sub-EN067,sub-EN068,sub-EN069,sub-EN070,sub-EN072,sub-EN074,sub-EN077,sub-EN079,sub-EN081,sub-EN082,sub-EN083,sub-EN086,sub-EN087,sub-EN088,sub-EN094,sub-EN095,sub-EN096,sub-EN097,sub-EN099,sub-EN101,sub-EN104,sub-EN105,sub-EN106,sub-EN109,sub-EN110,sub-EN115
36	0.2909452115	sub-EN058,sub-EN062,sub-EN065,sub-EN067,sub-EN069,sub-EN073,sub-EN074,sub-EN075,sub-EN076,sub-EN082,sub-EN083,sub-EN086,sub-EN087,sub-EN088,sub-EN092,sub-EN094,sub-EN095,sub-EN096,sub-EN097,sub-EN098,sub-EN099,sub-EN101,sub-EN106,sub-EN108,sub-EN109,sub-EN110,sub-EN113,sub-EN114
37	0.3068635159	sub-EN057,sub-EN058,sub-EN059,sub-EN062,sub-EN064,sub-EN069,sub-EN070,sub-EN072,sub-EN073,sub-EN075,sub-EN076,sub-EN078,sub-EN082,sub-EN083,sub-EN087,sub-EN089,sub-EN091,sub-EN095,sub-EN096,sub-EN097,sub-EN098,sub-EN101,sub-EN103,sub-EN105,sub-EN108,sub-EN109,sub-EN110,sub-EN114
38	0.3015278175	sub-EN057,sub-EN061,sub-EN062,sub-EN063,sub-EN065,sub-EN067,sub-EN070,sub-EN072,sub-EN073,sub-EN075,sub-EN076,sub-EN079,sub-EN081,sub-EN083,sub-EN091,sub-EN092,sub-EN093,sub-EN095,sub-EN097,sub-EN098,sub-EN100,sub-EN101,sub-EN103,sub-EN105,sub-EN109,sub-EN110,sub-EN113,sub-EN114
39	0.2912031369	sub-EN058,sub-EN059,sub-EN061,sub-EN062,sub-EN064,sub-EN065,sub-EN068,sub-EN069,sub-EN070,sub-EN072,sub-EN073,sub-EN074,sub-EN076,sub-EN077,sub-EN079,sub-EN081,sub-EN084,sub-EN088,sub-EN092,sub-EN093,sub-EN094,sub-EN095,sub-EN099,sub-EN101,sub-EN104,sub-EN105,sub-EN109,sub-EN110
40	0.3018530413	sub-EN057,sub-EN061,sub-EN062,sub-EN063,sub-EN064,sub-EN065,sub-EN067,sub-EN068,sub-EN069,sub-EN070,sub-EN073,sub-EN075,sub-EN076,sub-EN077,sub-EN079,sub-EN084,sub-EN086,sub-EN092,sub-EN095,sub-EN096,sub-EN097,sub-EN099,sub-EN105,sub-EN106,sub-EN109,sub-EN110,sub-EN114,sub-EN115
41	0.2516230023	sub-EN057,sub-EN058,sub-EN062,sub-EN063,sub-EN065,sub-EN067,sub-EN068,sub-EN069,sub-EN073,sub-EN076,sub-EN078,sub-EN079,sub-EN086,sub-EN087,sub-EN088,sub-EN089,sub-EN092,sub-EN093,sub-EN094,sub-EN095,sub-EN096,sub-EN099,sub-EN100,sub-EN101,sub-EN104,sub-EN108,sub-EN113,sub-EN115
42	0.2709493140	sub-EN057,sub-EN061,sub-EN062,sub-EN063,sub-EN065,sub-EN067,sub-EN068,sub-EN069,sub-EN072,sub-EN075,sub-EN076,sub-EN077,sub-EN079,sub-EN081,sub-EN084,sub-EN086,sub-EN089,sub-EN091,sub-EN092,sub-EN093,sub-EN094,sub-EN095,sub-EN099,sub-EN100,sub-EN106,sub-EN108,sub-EN109,sub-EN115
43	0.2583533851	sub-EN059,sub-EN062,sub-EN063,sub-EN065,sub-EN067,sub-EN070,sub-EN072,sub-EN074,sub-EN076,sub-EN078,sub-EN084,sub-EN086,sub-EN087,sub-EN088,sub-EN089,sub-EN092,sub-EN093,sub-EN096,sub-EN098,sub-EN099,sub-EN100,sub-EN101,sub-EN103,sub-EN105,sub-EN106,sub-EN113,sub-EN114,sub-EN115
44	0.2742847984	sub-EN057,sub-EN064,sub-EN067,sub-EN068,sub-EN070,sub-EN072,sub-EN073,sub-EN074,sub-EN075,sub-EN076,sub-EN077,sub-EN079,sub-EN082,sub-EN083,sub-EN086,sub-EN087,sub-EN092,sub-EN093,sub-EN098,sub-EN099,sub-EN100,sub-EN103,sub-EN104,sub-EN105,sub-EN108,sub-EN109,sub-EN110,sub-EN115
45	0.2591840805	sub-EN057,sub-EN059,sub-EN061,sub-EN065,sub-EN069,sub-EN070,sub-EN072,sub-EN073,sub-EN074,sub-EN077,sub-EN078,sub-EN079,sub-EN081,sub-EN084,sub-EN086,sub-EN089,sub-EN091,sub-EN095,sub-EN096,sub-EN098,sub-EN099,sub-EN101,sub-EN103,sub-EN104,sub-EN106,sub-EN108,sub-EN109,sub-EN110
46	0.2900856853	sub-EN057,sub-EN059,sub-EN061,sub-EN062,sub-EN068,sub-EN070,sub-EN072,sub-EN073,sub-EN074,sub-EN075,sub-EN079,sub-EN081,sub-EN082,sub-EN083,sub-EN084,sub-EN087,sub-EN088,sub-EN089,sub-EN092,sub-EN094,sub-EN095,sub-EN097,sub-EN099,sub-EN100,sub-EN103,sub-EN105,sub-EN109,sub-EN113
47	0.2768176884	sub-EN059,sub-EN061,sub-EN062,sub-EN063,sub-EN064,sub-EN067,sub-EN068,sub-EN069,sub-EN072,sub-EN073,sub-EN074,sub-EN075,sub-EN076,sub-EN081,sub-EN083,sub-EN086,sub-EN087,sub-EN091,sub-EN092,sub-EN093,sub-EN095,sub-EN097,sub-EN098,sub-EN099,sub-EN101,sub-EN104,sub-EN110,sub-EN115
48	0.2603612139	sub-EN057,sub-EN059,sub-EN061,sub-EN065,sub-EN067,sub-EN074,sub-EN076,sub-EN077,sub-EN078,sub-EN082,sub-EN083,sub-EN084,sub-EN086,sub-EN087,sub-EN089,sub-EN091,sub-EN094,sub-EN097,sub-EN098,sub-EN099,sub-EN104,sub-EN105,sub-EN106,sub-EN108,sub-EN110,sub-EN113,sub-EN114,sub-EN115
49	0.2794489781	sub-EN057,sub-EN058,sub-EN059,sub-EN061,sub-EN063,sub-EN064,sub-EN065,sub-EN070,sub-EN072,sub-EN075,sub-EN077,sub-EN078,sub-EN083,sub-EN087,sub-EN088,sub-EN089,sub-EN091,sub-EN092,sub-EN094,sub-EN095,sub-EN097,sub-EN100,sub-EN104,sub-EN105,sub-EN110,sub-EN113,sub-EN114,sub-EN115
