candidate_idx	isc_score	participant_ids
26	0.2932231581	sub-CN001,sub-CN003,sub-CN004,sub-CN006,sub-CN007,sub-CN008,sub-CN009,sub-CN010,sub-CN011,sub-CN013,sub-CN015,sub-CN016,sub-CN018,sub-CN020,sub-CN021,sub-CN022,sub-CN024,sub-CN025,sub-CN026,sub-CN028,sub-CN029,sub-CN030,sub-CN031,sub-CN032,sub-CN033,sub-CN034,sub-CN036,sub-CN037
27	0.3005518839	sub-CN003,sub-CN004,sub-CN005,sub-CN006,sub-CN008,sub-CN009,sub-CN010,sub-CN011,sub-CN013,sub-CN014,sub-CN015,sub-CN016,sub-CN017,sub-CN018,sub-CN019,sub-CN020,sub-CN021,sub-CN022,sub-CN023,sub-CN024,sub-CN025,sub-CN026,sub-CN027,sub-CN028,sub-CN029,sub-CN031,sub-CN032,sub-CN036
28	0.2976847826	sub-CN001,sub-CN002,sub-CN003,sub-CN005,sub-CN006,sub-CN009,sub-CN010,sub-CN011,sub-CN013,sub-CN015,sub-CN016,sub-CN019,sub-CN020,sub-CN021,sub-CN022,sub-CN023,sub-CN024,sub-CN025,sub-CN027,sub-CN028,sub-CN029,sub-CN030,sub-CN031,sub-CN032,sub-CN033,sub-CN034,sub-CN036,sub-CN037
29	0.2903919511	sub-CN001,sub-CN002,sub-CN003,sub-CN004,sub-CN005,sub-CN006,sub-CN008,sub-CN009,sub-CN010,sub-CN011,sub-CN013,sub-CN014,sub-CN015,sub-CN016,sub-CN018,sub-CN020,sub-CN021,sub-CN022,sub-CN023,sub-CN024,sub-CN026,sub-CN028,sub-CN030,sub-CN032,sub-CN033,sub-CN034,sub-CN036,sub-CN037
30	0.3180187387	sub-CN001,sub-CN002,sub-CN003,sub-CN004,sub-CN005,sub-CN007,sub-CN008,sub-CN010,sub-CN011,sub-CN013,sub-CN014,sub-CN015,sub-CN016,sub-CN017,sub-CN018,sub-CN019,sub-CN020,sub-CN022,sub-CN023,sub-CN024,sub-CN025,sub-CN026,sub-CN027,sub-CN028,sub-CN029,sub-CN031,sub-CN033,sub-CN034
31	0.2957632641	sub-CN001,sub-CN002,sub-CN003,sub-CN005,sub-CN007,sub-CN008,sub-CN009,sub-CN010,sub-CN015,sub-CN016,sub-CN018,sub-CN019,sub-CN020,sub-CN021,sub-CN022,sub-CN023,sub-CN024,sub-CN026,sub-CN027,sub-CN028,sub-CN029,sub-CN030,sub-CN031,sub-CN032,sub-CN033,sub-CN034,sub-CN036,sub-CN037
32	0.2998042180	sub-CN001,sub-CN002,sub-CN004,sub-CN005,sub-CN008,sub-CN009,sub-CN010,sub-CN013,sub-CN014,sub-CN016,sub-CN017,sub-CN019,sub-CN020,sub-CN021,sub-CN022,sub-CN024,sub-CN025,sub-CN026,sub-CN027,sub-CN028,sub-CN029,sub-CN030,sub-CN031,sub-CN032,sub-CN033,sub-CN034,sub-CN036,sub-CN037
33	0.2872864821	sub-CN002,sub-CN004,sub-CN005,sub-CN006,sub-CN007,sub-CN008,sub-CN009,sub-CN010,sub-CN011,sub-CN013,sub-CN014,sub-CN015,sub-CN017,sub-CN018,sub-CN019,sub-CN020,sub-CN021,sub-CN023,sub-CN024,sub-CN025,sub-CN027,sub-CN028,sub-CN029,sub-CN030,sub-CN031,sub-CN033,sub-CN036,sub-CN037
34	0.2886664798	sub-CN001,sub-CN002,sub-CN003,sub-CN004,sub-CN005,sub-CN006,sub-CN007,sub-CN008,sub-CN009,sub-CN011,sub-CN013,sub-CN014,sub-CN015,sub-CN016,sub-CN017,sub-CN018,sub-CN019,sub-CN020,sub-CN023,sub-CN024,sub-CN026,sub-CN027,sub-CN028,sub-CN029,sub-CN030,sub-CN031,sub-CN032,sub-CN037
35	0.3055299794	sub-CN001,sub-CN004,sub-CN005,sub-CN006,sub-CN007,sub-CN008,sub-CN009,sub-CN010,sub-CN013,sub-CN014,sub-CN015,sub-CN018,sub-CN019,sub-CN020,sub-CN021,sub-CN023,sub-CN024,sub-CN025,sub-CN026,sub-CN027,sub-CN028,sub-CN029,sub-CN030,sub-CN031,sub-CN032,sub-CN033,sub-CN034,sub-CN036
